,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
312,arraial do cabo,40,BR,1588970068,68,-22.97,-42.03,22.0,2.6
313,guane,72,CU,1588970410,45,22.2,-84.09,30.95,3.73
314,sompeta,1,IN,1588970411,82,18.93,84.6,27.62,5.17
315,hirara,37,JP,1588970411,85,24.8,125.28,24.86,4.31
316,barabinsk,4,RU,1588970411,51,55.36,78.36,12.87,2.6
317,constitucion,89,CL,1588970130,80,-35.33,-72.42,15.78,2.21
318,jiutai,75,CN,1588970412,81,44.15,125.83,11.0,2.0
319,guymon,1,US,1588970165,23,36.68,-101.48,17.0,7.2
320,kiama,9,AU,1588970412,46,-34.68,150.87,21.67,3.58
321,mudgee,40,AU,1588970225,100,-32.59,149.59,10.0,2.1
322,vila velha,40,BR,1588970413,69,-20.33,-40.29,23.0,6.7
323,svetogorsk,99,RU,1588970414,57,61.11,28.86,7.22,2.63
324,adrar,3,MR,1588970101,20,20.5,-10.07,33.55,4.66
325,vila franca do campo,20,PT,1588970040,67,37.72,-25.43,16.0,9.8
326,pizarro,63,CO,1588970415,79,4.95,-77.37,28.41,4.24
327,tilichiki,12,RU,1588969984,97,60.47,166.1,-4.17,4.88
328,kushima,100,JP,1588970415,67,31.46,131.23,17.78,7.15
329,codrington,100,AU,1588969994,82,-38.27,141.97,10.16,5.78
330,chesma,0,RU,1588970416,45,53.81,60.65,13.98,2.98
331,tahe,100,CN,1588970416,60,52.33,124.73,5.72,0.78
332,broome,90,US,1588970417,80,42.25,-75.83,5.56,3.6
333,alamogordo,1,US,1588970212,11,32.9,-105.96,26.0,4.1
334,victoria,50,HK,1588969799,86,22.29,114.16,28.33,4.92
335,puerto berrio,100,CO,1588970417,54,6.49,-74.4,33.31,1.1
336,cherskiy,0,RU,1588970043,90,68.75,161.3,0.74,3.43
337,bow island,90,CA,1588970418,66,49.87,-111.37,12.0,10.8
338,mangrol,0,IN,1588970013,84,21.12,70.12,27.32,3.75
339,sauga,13,EE,1588970419,79,58.43,24.5,7.78,4.47
340,bani walid,75,LY,1588970419,61,31.76,13.99,17.44,5.79
341,los llanos de aridane,20,ES,1588970045,73,28.66,-17.92,21.0,1.5
